"消費数量・購入金額","品目別購入数量・金額","2019年5月 ほうれんそう"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ほうれんそう"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,346,237,116,80
"　　　　　2月",2.97,400,249,135,84
"　　　　　3月",2.97,412,222,139,75
"　　　　　4月",2.97,314,191,106,64
"　　　　　5月",2.97,267,166,90,56
"　　　　　6月",2.97,202,147,68,49
"　　　　　7月",2.98,146,107,49,36
"　　　　　8月",2.98,91,86,31,29
"　　　　　9月",2.98,136,125,46,42
"　　　　 10月",2.98,268,184,90,62
"　　　　 11月",2.98,171,160,57,54
"　　　　 12月",2.98,207,221,69,74
" 2018年　 1月",2.98,263,263,88,88
"　　　　　2月",2.97,343,296,115,100
"　　　　　3月",2.97,474,258,160,87
"　　　　　4月",2.97,288,174,97,59
"　　　　　5月",2.97,249,169,84,57
"　　　　　6月",2.97,210,147,71,49
"　　　　　7月",2.98,123,101,41,34
"　　　　　8月",2.98,87,94,29,32
"　　　　　9月",2.97,119,125,40,42
"　　　　 10月",2.98,201,181,67,61
"　　　　 11月",2.98,340,217,114,73
"　　　　 12月",2.98,342,199,115,67
" 2019年　 1月",2.98,297,209,100,70
"　　　　　2月",2.98,333,211,112,71
"　　　　　3月",2.97,335,187,113,63
"　　　　　4月",2.97,279,170,94,57
"　　　　　5月",2.97,262,165,88,56
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
