"消費数量・購入金額","品目別購入数量・金額","2019年5月 たまねぎ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：たまねぎ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,1316,252,443,85
"　　　　　2月",2.97,1375,271,463,91
"　　　　　3月",2.97,1458,322,491,108
"　　　　　4月",2.97,1558,369,525,124
"　　　　　5月",2.97,1550,329,522,111
"　　　　　6月",2.97,1211,236,408,79
"　　　　　7月",2.98,1005,207,337,69
"　　　　　8月",2.98,1115,225,374,76
"　　　　　9月",2.98,1428,245,479,82
"　　　　 10月",2.98,1477,237,496,80
"　　　　 11月",2.98,1441,234,484,79
"　　　　 12月",2.98,1393,243,467,82
" 2018年　 1月",2.98,1323,261,444,88
"　　　　　2月",2.97,1362,285,459,96
"　　　　　3月",2.97,1466,323,494,109
"　　　　　4月",2.97,1537,333,518,112
"　　　　　5月",2.97,1473,295,496,99
"　　　　　6月",2.97,1279,226,431,76
"　　　　　7月",2.98,1097,200,368,67
"　　　　　8月",2.98,1132,237,380,80
"　　　　　9月",2.97,1310,282,441,95
"　　　　 10月",2.98,1455,298,488,100
"　　　　 11月",2.98,1333,268,447,90
"　　　　 12月",2.98,1225,268,411,90
" 2019年　 1月",2.98,1275,290,428,97
"　　　　　2月",2.98,1345,314,451,105
"　　　　　3月",2.97,1456,355,490,120
"　　　　　4月",2.97,1615,355,544,120
"　　　　　5月",2.97,1558,305,525,103
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
