"消費数量・購入金額","品目別購入数量・金額","2019年5月 れんこん"
"品目別購入数量・金額"
"地 域：全国"
"品 目：れんこん"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,97,90,33,30
"　　　　　2月",2.97,121,103,41,35
"　　　　　3月",2.97,116,99,39,33
"　　　　　4月",2.97,76,65,26,22
"　　　　　5月",2.97,54,47,18,16
"　　　　　6月",2.97,28,30,9,10
"　　　　　7月",2.98,26,28,9,9
"　　　　　8月",2.98,72,71,24,24
"　　　　　9月",2.98,150,120,50,40
"　　　　 10月",2.98,160,121,54,41
"　　　　 11月",2.98,172,130,58,44
"　　　　 12月",2.98,241,206,81,69
" 2018年　 1月",2.98,125,106,42,36
"　　　　　2月",2.97,124,101,42,34
"　　　　　3月",2.97,130,98,44,33
"　　　　　4月",2.97,78,64,26,22
"　　　　　5月",2.97,47,43,16,14
"　　　　　6月",2.97,21,22,7,7
"　　　　　7月",2.98,28,30,9,10
"　　　　　8月",2.98,82,69,28,23
"　　　　　9月",2.97,141,118,47,40
"　　　　 10月",2.98,167,126,56,42
"　　　　 11月",2.98,177,127,59,43
"　　　　 12月",2.98,235,174,79,58
" 2019年　 1月",2.98,121,88,41,30
"　　　　　2月",2.98,120,92,40,31
"　　　　　3月",2.97,116,86,39,29
"　　　　　4月",2.97,69,58,23,20
"　　　　　5月",2.97,43,40,14,13
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
