"消費数量・購入金額","品目別購入数量・金額","2019年5月 なす"
"品目別購入数量・金額"
"地 域：全国"
"品 目：なす"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,131,80,44,27
"　　　　　2月",2.97,149,89,50,30
"　　　　　3月",2.97,230,130,77,44
"　　　　　4月",2.97,309,164,104,55
"　　　　　5月",2.97,433,219,146,74
"　　　　　6月",2.97,559,254,188,86
"　　　　　7月",2.98,697,266,234,89
"　　　　　8月",2.98,644,260,216,87
"　　　　　9月",2.98,507,212,170,71
"　　　　 10月",2.98,355,145,119,49
"　　　　 11月",2.98,131,87,44,29
"　　　　 12月",2.98,81,64,27,21
" 2018年　 1月",2.98,137,92,46,31
"　　　　　2月",2.97,137,95,46,32
"　　　　　3月",2.97,196,122,66,41
"　　　　　4月",2.97,344,176,116,59
"　　　　　5月",2.97,434,208,146,70
"　　　　　6月",2.97,510,239,172,80
"　　　　　7月",2.98,652,283,219,95
"　　　　　8月",2.98,685,292,230,98
"　　　　　9月",2.97,438,199,147,67
"　　　　 10月",2.98,254,139,85,47
"　　　　 11月",2.98,209,111,70,37
"　　　　 12月",2.98,113,68,38,23
" 2019年　 1月",2.98,134,81,45,27
"　　　　　2月",2.98,120,79,40,27
"　　　　　3月",2.97,224,125,75,42
"　　　　　4月",2.97,305,150,103,51
"　　　　　5月",2.97,438,202,147,68
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
