"消費数量・購入金額","品目別購入数量・金額","2019年5月 ピーマン"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ピーマン"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,153,134,52,45
"　　　　　2月",2.97,171,152,58,51
"　　　　　3月",2.97,235,185,79,62
"　　　　　4月",2.97,303,208,102,70
"　　　　　5月",2.97,335,226,113,76
"　　　　　6月",2.97,334,214,112,72
"　　　　　7月",2.98,292,195,98,65
"　　　　　8月",2.98,279,186,94,62
"　　　　　9月",2.98,251,175,84,59
"　　　　 10月",2.98,235,158,79,53
"　　　　 11月",2.98,188,155,63,52
"　　　　 12月",2.98,192,166,64,56
" 2018年　 1月",2.98,181,161,61,54
"　　　　　2月",2.97,155,157,52,53
"　　　　　3月",2.97,200,179,67,60
"　　　　　4月",2.97,287,211,97,71
"　　　　　5月",2.97,338,215,114,72
"　　　　　6月",2.97,324,206,109,69
"　　　　　7月",2.98,293,211,98,71
"　　　　　8月",2.98,256,207,86,69
"　　　　　9月",2.97,265,209,89,70
"　　　　 10月",2.98,228,181,77,61
"　　　　 11月",2.98,195,153,65,51
"　　　　 12月",2.98,196,140,66,47
" 2019年　 1月",2.98,144,136,48,46
"　　　　　2月",2.98,151,145,51,49
"　　　　　3月",2.97,208,182,70,61
"　　　　　4月",2.97,270,207,91,70
"　　　　　5月",2.97,321,215,108,72
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
