"消費数量・購入金額","品目別購入数量・金額","2019年5月 えのきたけ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：えのきたけ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,327,162,110,55
"　　　　　2月",2.97,282,129,95,43
"　　　　　3月",2.97,280,107,94,36
"　　　　　4月",2.97,208,79,70,27
"　　　　　5月",2.97,165,66,56,22
"　　　　　6月",2.97,155,60,52,20
"　　　　　7月",2.98,136,50,46,17
"　　　　　8月",2.98,136,56,46,19
"　　　　　9月",2.98,212,93,71,31
"　　　　 10月",2.98,325,141,109,47
"　　　　 11月",2.98,334,153,112,51
"　　　　 12月",2.98,358,186,120,62
" 2018年　 1月",2.98,334,182,112,61
"　　　　　2月",2.97,277,147,93,49
"　　　　　3月",2.97,238,105,80,35
"　　　　　4月",2.97,185,73,62,25
"　　　　　5月",2.97,179,67,60,23
"　　　　　6月",2.97,152,58,51,20
"　　　　　7月",2.98,121,51,41,17
"　　　　　8月",2.98,133,56,45,19
"　　　　　9月",2.97,219,102,74,34
"　　　　 10月",2.98,303,136,102,46
"　　　　 11月",2.98,308,142,103,48
"　　　　 12月",2.98,342,162,115,54
" 2019年　 1月",2.98,329,150,110,50
"　　　　　2月",2.98,271,118,91,40
"　　　　　3月",2.97,231,97,78,33
"　　　　　4月",2.97,189,75,64,25
"　　　　　5月",2.97,146,63,49,21
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
