"消費数量・購入金額","品目別購入数量・金額","2019年5月 ねぎ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ねぎ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,494,325,166,109
"　　　　　2月",2.97,459,280,155,94
"　　　　　3月",2.97,445,267,150,90
"　　　　　4月",2.97,349,224,118,75
"　　　　　5月",2.97,283,212,95,71
"　　　　　6月",2.97,242,203,81,68
"　　　　　7月",2.98,243,206,82,69
"　　　　　8月",2.98,252,222,85,74
"　　　　　9月",2.98,345,255,116,86
"　　　　 10月",2.98,480,304,161,102
"　　　　 11月",2.98,534,346,179,116
"　　　　 12月",2.98,702,417,236,140
" 2018年　 1月",2.98,489,351,164,118
"　　　　　2月",2.97,420,322,141,108
"　　　　　3月",2.97,397,274,134,92
"　　　　　4月",2.97,316,208,106,70
"　　　　　5月",2.97,261,206,88,69
"　　　　　6月",2.97,244,202,82,68
"　　　　　7月",2.98,250,211,84,71
"　　　　　8月",2.98,240,232,81,78
"　　　　　9月",2.97,307,270,103,91
"　　　　 10月",2.98,373,315,125,106
"　　　　 11月",2.98,479,304,161,102
"　　　　 12月",2.98,650,338,218,113
" 2019年　 1月",2.98,493,293,165,98
"　　　　　2月",2.98,436,255,146,86
"　　　　　3月",2.97,411,222,138,75
"　　　　　4月",2.97,319,188,107,63
"　　　　　5月",2.97,262,197,88,66
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
