"消費数量・購入金額","品目別購入数量・金額","2019年5月 いわし"
"品目別購入数量・金額"
"地 域：全国"
"品 目：いわし"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,51,46,17,15
"　　　　　2月",2.97,78,67,26,23
"　　　　　3月",2.97,65,50,22,17
"　　　　　4月",2.97,63,50,21,17
"　　　　　5月",2.97,50,44,17,15
"　　　　　6月",2.97,73,60,25,20
"　　　　　7月",2.98,65,59,22,20
"　　　　　8月",2.98,51,48,17,16
"　　　　　9月",2.98,52,48,17,16
"　　　　 10月",2.98,69,54,23,18
"　　　　 11月",2.98,51,44,17,15
"　　　　 12月",2.98,52,44,17,15
" 2018年　 1月",2.98,50,40,17,13
"　　　　　2月",2.97,80,68,27,23
"　　　　　3月",2.97,66,60,22,20
"　　　　　4月",2.97,63,51,21,17
"　　　　　5月",2.97,62,51,21,17
"　　　　　6月",2.97,72,58,24,20
"　　　　　7月",2.98,57,47,19,16
"　　　　　8月",2.98,42,33,14,11
"　　　　　9月",2.97,40,40,13,13
"　　　　 10月",2.98,49,43,16,14
"　　　　 11月",2.98,28,27,9,9
"　　　　 12月",2.98,33,30,11,10
" 2019年　 1月",2.98,37,37,12,12
"　　　　　2月",2.98,78,58,26,19
"　　　　　3月",2.97,52,37,18,12
"　　　　　4月",2.97,53,43,18,14
"　　　　　5月",2.97,42,38,14,13
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
