"消費数量・購入金額","品目別購入数量・金額","2019年5月 いか"
"品目別購入数量・金額"
"地 域：全国"
"品 目：いか"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,68,113,23,38
"　　　　　2月",2.97,86,139,29,47
"　　　　　3月",2.97,102,175,34,59
"　　　　　4月",2.97,117,187,39,63
"　　　　　5月",2.97,107,172,36,58
"　　　　　6月",2.97,113,162,38,55
"　　　　　7月",2.98,115,174,39,58
"　　　　　8月",2.98,114,171,38,57
"　　　　　9月",2.98,103,142,35,48
"　　　　 10月",2.98,93,130,31,44
"　　　　 11月",2.98,91,127,31,43
"　　　　 12月",2.98,105,161,35,54
" 2018年　 1月",2.98,90,129,30,43
"　　　　　2月",2.97,85,134,29,45
"　　　　　3月",2.97,94,164,32,55
"　　　　　4月",2.97,107,182,36,61
"　　　　　5月",2.97,88,153,30,52
"　　　　　6月",2.97,105,152,35,51
"　　　　　7月",2.98,124,166,42,56
"　　　　　8月",2.98,101,147,34,49
"　　　　　9月",2.97,85,133,29,45
"　　　　 10月",2.98,94,134,32,45
"　　　　 11月",2.98,89,132,30,44
"　　　　 12月",2.98,95,144,32,48
" 2019年　 1月",2.98,86,131,29,44
"　　　　　2月",2.98,101,148,34,50
"　　　　　3月",2.97,105,172,35,58
"　　　　　4月",2.97,101,169,34,57
"　　　　　5月",2.97,93,153,31,52
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
