"消費数量・購入金額","品目別購入数量・金額","2019年5月 えび"
"品目別購入数量・金額"
"地 域：全国"
"品 目：えび"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,99,213,33,72
"　　　　　2月",2.97,98,211,33,71
"　　　　　3月",2.97,105,253,35,85
"　　　　　4月",2.97,100,221,34,74
"　　　　　5月",2.97,115,255,39,86
"　　　　　6月",2.97,105,223,35,75
"　　　　　7月",2.98,98,219,33,73
"　　　　　8月",2.98,116,252,39,85
"　　　　　9月",2.98,108,232,36,78
"　　　　 10月",2.98,92,220,31,74
"　　　　 11月",2.98,104,217,35,73
"　　　　 12月",2.98,191,505,64,169
" 2018年　 1月",2.98,93,208,31,70
"　　　　　2月",2.97,90,196,30,66
"　　　　　3月",2.97,98,222,33,75
"　　　　　4月",2.97,95,205,32,69
"　　　　　5月",2.97,118,231,40,78
"　　　　　6月",2.97,97,208,33,70
"　　　　　7月",2.98,95,208,32,70
"　　　　　8月",2.98,113,254,38,85
"　　　　　9月",2.97,128,208,43,70
"　　　　 10月",2.98,103,206,35,69
"　　　　 11月",2.98,108,204,36,68
"　　　　 12月",2.98,198,486,66,163
" 2019年　 1月",2.98,99,201,33,67
"　　　　　2月",2.98,97,199,33,67
"　　　　　3月",2.97,107,234,36,79
"　　　　　4月",2.97,112,216,38,73
"　　　　　5月",2.97,118,241,40,81
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
