"消費数量・購入金額","品目別購入数量・金額","2019年5月 かき"
"品目別購入数量・金額"
"地 域：全国"
"品 目：かき"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,77,155,26,52
"　　　　　2月",2.97,72,153,24,52
"　　　　　3月",2.97,51,94,17,32
"　　　　　4月",2.97,17,29,6,10
"　　　　　5月",2.97,10,11,3,4
"　　　　　6月",2.97,4,7,1,2
"　　　　　7月",2.98,6,10,2,3
"　　　　　8月",2.98,6,8,2,3
"　　　　　9月",2.98,2,10,1,3
"　　　　 10月",2.98,32,69,11,23
"　　　　 11月",2.98,63,129,21,43
"　　　　 12月",2.98,165,284,55,95
" 2018年　 1月",2.98,79,167,27,56
"　　　　　2月",2.97,90,164,30,55
"　　　　　3月",2.97,51,84,17,28
"　　　　　4月",2.97,16,24,5,8
"　　　　　5月",2.97,4,6,1,2
"　　　　　6月",2.97,5,10,2,3
"　　　　　7月",2.98,7,7,2,2
"　　　　　8月",2.98,3,5,1,2
"　　　　　9月",2.97,4,8,1,3
"　　　　 10月",2.98,30,69,10,23
"　　　　 11月",2.98,63,117,21,39
"　　　　 12月",2.98,118,214,40,72
" 2019年　 1月",2.98,80,161,27,54
"　　　　　2月",2.98,76,148,26,50
"　　　　　3月",2.97,52,73,18,25
"　　　　　4月",2.97,12,19,4,6
"　　　　　5月",2.97,7,7,2,2
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
