"消費数量・購入金額","品目別購入数量・金額","2019年5月 ほたて貝"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ほたて貝"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,29,61,10,21
"　　　　　2月",2.97,26,59,9,20
"　　　　　3月",2.97,32,70,11,24
"　　　　　4月",2.97,28,70,9,24
"　　　　　5月",2.97,27,73,9,25
"　　　　　6月",2.97,31,73,10,25
"　　　　　7月",2.98,24,56,8,19
"　　　　　8月",2.98,30,68,10,23
"　　　　　9月",2.98,18,52,6,17
"　　　　 10月",2.98,21,54,7,18
"　　　　 11月",2.98,23,58,8,19
"　　　　 12月",2.98,35,122,12,41
" 2018年　 1月",2.98,22,56,7,19
"　　　　　2月",2.97,23,61,8,21
"　　　　　3月",2.97,31,72,10,24
"　　　　　4月",2.97,42,74,14,25
"　　　　　5月",2.97,41,86,14,29
"　　　　　6月",2.97,32,80,11,27
"　　　　　7月",2.98,31,68,10,23
"　　　　　8月",2.98,39,87,13,29
"　　　　　9月",2.97,24,64,8,22
"　　　　 10月",2.98,26,71,9,24
"　　　　 11月",2.98,31,77,10,26
"　　　　 12月",2.98,52,146,17,49
" 2019年　 1月",2.98,29,62,10,21
"　　　　　2月",2.98,30,61,10,20
"　　　　　3月",2.97,34,79,11,27
"　　　　　4月",2.97,44,84,15,28
"　　　　　5月",2.97,41,84,14,28
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
