"消費数量・購入金額","品目別購入数量・金額","2019年5月 干しあじ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：干しあじ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,53,63,18,21
"　　　　　2月",2.97,54,65,18,22
"　　　　　3月",2.97,57,72,19,24
"　　　　　4月",2.97,56,69,19,23
"　　　　　5月",2.97,57,77,19,26
"　　　　　6月",2.97,61,72,21,24
"　　　　　7月",2.98,50,66,17,22
"　　　　　8月",2.98,52,72,17,24
"　　　　　9月",2.98,53,64,18,21
"　　　　 10月",2.98,58,68,19,23
"　　　　 11月",2.98,52,66,17,22
"　　　　 12月",2.98,45,60,15,20
" 2018年　 1月",2.98,47,62,16,21
"　　　　　2月",2.97,51,65,17,22
"　　　　　3月",2.97,53,63,18,21
"　　　　　4月",2.97,55,71,19,24
"　　　　　5月",2.97,55,67,19,23
"　　　　　6月",2.97,57,69,19,23
"　　　　　7月",2.98,44,57,15,19
"　　　　　8月",2.98,49,61,16,20
"　　　　　9月",2.97,43,55,14,19
"　　　　 10月",2.98,39,54,13,18
"　　　　 11月",2.98,46,52,15,17
"　　　　 12月",2.98,36,49,12,16
" 2019年　 1月",2.98,41,50,14,17
"　　　　　2月",2.98,40,46,13,15
"　　　　　3月",2.97,51,60,17,20
"　　　　　4月",2.97,49,59,16,20
"　　　　　5月",2.97,43,55,14,19
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
