"消費数量・購入金額","品目別購入数量・金額","2019年5月 鶏肉"
"品目別購入数量・金額"
"地 域：全国"
"品 目：鶏肉"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,1361,1326,458,446
"　　　　　2月",2.97,1358,1247,457,420
"　　　　　3月",2.97,1386,1308,467,440
"　　　　　4月",2.97,1323,1266,445,426
"　　　　　5月",2.97,1316,1285,443,433
"　　　　　6月",2.97,1281,1233,431,415
"　　　　　7月",2.98,1211,1186,406,398
"　　　　　8月",2.98,1193,1176,400,395
"　　　　　9月",2.98,1340,1266,450,425
"　　　　 10月",2.98,1442,1399,484,469
"　　　　 11月",2.98,1438,1381,483,463
"　　　　 12月",2.98,1636,1720,549,577
" 2018年　 1月",2.98,1382,1389,464,466
"　　　　　2月",2.97,1342,1306,452,440
"　　　　　3月",2.97,1345,1320,453,444
"　　　　　4月",2.97,1378,1281,464,431
"　　　　　5月",2.97,1397,1316,470,443
"　　　　　6月",2.97,1366,1231,460,414
"　　　　　7月",2.98,1294,1194,434,401
"　　　　　8月",2.98,1285,1163,431,390
"　　　　　9月",2.97,1368,1302,461,438
"　　　　 10月",2.98,1480,1371,497,460
"　　　　 11月",2.98,1461,1339,490,449
"　　　　 12月",2.98,1765,1665,592,559
" 2019年　 1月",2.98,1429,1348,480,452
"　　　　　2月",2.98,1397,1298,469,436
"　　　　　3月",2.97,1428,1332,481,448
"　　　　　4月",2.97,1365,1271,460,428
"　　　　　5月",2.97,1418,1296,477,436
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
