"消費数量・購入金額","品目別購入数量・金額","2019年5月 ソーセージ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ソーセージ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,391,553,132,186
"　　　　　2月",2.97,394,544,133,183
"　　　　　3月",2.97,439,617,148,208
"　　　　　4月",2.97,440,634,148,213
"　　　　　5月",2.97,472,658,159,222
"　　　　　6月",2.97,450,615,152,207
"　　　　　7月",2.98,442,604,148,203
"　　　　　8月",2.98,458,649,154,218
"　　　　　9月",2.98,467,629,157,211
"　　　　 10月",2.98,468,673,157,226
"　　　　 11月",2.98,452,625,152,210
"　　　　 12月",2.98,453,648,152,217
" 2018年　 1月",2.98,424,574,142,193
"　　　　　2月",2.97,405,559,136,188
"　　　　　3月",2.97,449,623,151,210
"　　　　　4月",2.97,427,619,144,208
"　　　　　5月",2.97,490,648,165,218
"　　　　　6月",2.97,451,603,152,203
"　　　　　7月",2.98,410,596,138,200
"　　　　　8月",2.98,459,620,154,208
"　　　　　9月",2.97,462,633,156,213
"　　　　 10月",2.98,458,640,154,215
"　　　　 11月",2.98,423,600,142,201
"　　　　 12月",2.98,445,628,149,211
" 2019年　 1月",2.98,408,541,137,182
"　　　　　2月",2.98,392,542,132,182
"　　　　　3月",2.97,459,627,155,211
"　　　　　4月",2.97,445,621,150,209
"　　　　　5月",2.97,457,632,154,213
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
