"消費数量・購入金額","品目別購入数量・金額","2019年5月 かんしょ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：かんしょ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,248,95,84,32
"　　　　　2月",2.97,316,116,106,39
"　　　　　3月",2.97,326,107,110,36
"　　　　　4月",2.97,250,81,84,27
"　　　　　5月",2.97,180,62,61,21
"　　　　　6月",2.97,122,48,41,16
"　　　　　7月",2.98,105,46,35,15
"　　　　　8月",2.98,180,68,60,23
"　　　　　9月",2.98,288,94,97,32
"　　　　 10月",2.98,291,107,98,36
"　　　　 11月",2.98,272,104,91,35
"　　　　 12月",2.98,317,113,106,38
" 2018年　 1月",2.98,240,94,81,32
"　　　　　2月",2.97,287,105,97,35
"　　　　　3月",2.97,225,84,76,28
"　　　　　4月",2.97,190,68,64,23
"　　　　　5月",2.97,130,50,44,17
"　　　　　6月",2.97,108,40,36,13
"　　　　　7月",2.98,109,43,37,14
"　　　　　8月",2.98,171,69,57,23
"　　　　　9月",2.97,292,111,98,37
"　　　　 10月",2.98,327,119,110,40
"　　　　 11月",2.98,249,99,84,33
"　　　　 12月",2.98,295,112,99,38
" 2019年　 1月",2.98,257,103,86,35
"　　　　　2月",2.98,273,109,92,37
"　　　　　3月",2.97,242,96,81,32
"　　　　　4月",2.97,196,73,66,25
"　　　　　5月",2.97,121,58,41,20
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
