"消費数量・購入金額","品目別購入数量・金額","2019年5月 あさり"
"品目別購入数量・金額"
"地 域：全国"
"品 目：あさり"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,51,55,17,19
"　　　　　2月",2.97,74,77,25,26
"　　　　　3月",2.97,127,129,43,43
"　　　　　4月",2.97,132,140,44,47
"　　　　　5月",2.97,101,105,34,35
"　　　　　6月",2.97,73,75,25,25
"　　　　　7月",2.98,50,52,17,17
"　　　　　8月",2.98,44,47,15,16
"　　　　　9月",2.98,52,55,17,18
"　　　　 10月",2.98,48,54,16,18
"　　　　 11月",2.98,53,53,18,18
"　　　　 12月",2.98,45,49,15,16
" 2018年　 1月",2.98,42,46,14,15
"　　　　　2月",2.97,64,70,22,24
"　　　　　3月",2.97,103,106,35,36
"　　　　　4月",2.97,109,104,37,35
"　　　　　5月",2.97,82,82,28,28
"　　　　　6月",2.97,65,64,22,22
"　　　　　7月",2.98,42,45,14,15
"　　　　　8月",2.98,33,41,11,14
"　　　　　9月",2.97,42,45,14,15
"　　　　 10月",2.98,39,46,13,15
"　　　　 11月",2.98,46,44,15,15
"　　　　 12月",2.98,39,42,13,14
" 2019年　 1月",2.98,40,45,13,15
"　　　　　2月",2.98,67,68,22,23
"　　　　　3月",2.97,114,113,38,38
"　　　　　4月",2.97,94,101,32,34
"　　　　　5月",2.97,95,91,32,31
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
