"消費数量・購入金額","品目別購入数量・金額","2019年5月 かつお"
"品目別購入数量・金額"
"地 域：全国"
"品 目：かつお"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,32,57,11,19
"　　　　　2月",2.97,47,73,16,25
"　　　　　3月",2.97,66,119,22,40
"　　　　　4月",2.97,83,161,28,54
"　　　　　5月",2.97,112,208,38,70
"　　　　　6月",2.97,104,168,35,57
"　　　　　7月",2.98,92,154,31,52
"　　　　　8月",2.98,86,143,29,48
"　　　　　9月",2.98,62,102,21,34
"　　　　 10月",2.98,42,78,14,26
"　　　　 11月",2.98,40,74,13,25
"　　　　 12月",2.98,34,58,11,19
" 2018年　 1月",2.98,29,55,10,18
"　　　　　2月",2.97,37,69,12,23
"　　　　　3月",2.97,62,114,21,38
"　　　　　4月",2.97,91,166,31,56
"　　　　　5月",2.97,103,182,35,61
"　　　　　6月",2.97,82,152,28,51
"　　　　　7月",2.98,101,166,34,56
"　　　　　8月",2.98,92,145,31,49
"　　　　　9月",2.97,71,118,24,40
"　　　　 10月",2.98,59,98,20,33
"　　　　 11月",2.98,50,76,17,26
"　　　　 12月",2.98,41,68,14,23
" 2019年　 1月",2.98,40,65,13,22
"　　　　　2月",2.98,44,76,15,26
"　　　　　3月",2.97,66,115,22,39
"　　　　　4月",2.97,79,135,27,45
"　　　　　5月",2.97,109,176,37,59
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
