"消費数量・購入金額","品目別購入数量・金額","2019年5月 かれい"
"品目別購入数量・金額"
"地 域：全国"
"品 目：かれい"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,70,99,24,33
"　　　　　2月",2.97,85,107,29,36
"　　　　　3月",2.97,99,126,33,42
"　　　　　4月",2.97,92,122,31,41
"　　　　　5月",2.97,77,101,26,34
"　　　　　6月",2.97,60,81,20,27
"　　　　　7月",2.98,55,66,18,22
"　　　　　8月",2.98,43,60,14,20
"　　　　　9月",2.98,51,78,17,26
"　　　　 10月",2.98,60,80,20,27
"　　　　 11月",2.98,67,87,22,29
"　　　　 12月",2.98,63,98,21,33
" 2018年　 1月",2.98,54,80,18,27
"　　　　　2月",2.97,67,95,23,32
"　　　　　3月",2.97,69,100,23,34
"　　　　　4月",2.97,87,99,29,33
"　　　　　5月",2.97,75,87,25,29
"　　　　　6月",2.97,59,76,20,26
"　　　　　7月",2.98,48,61,16,20
"　　　　　8月",2.98,42,54,14,18
"　　　　　9月",2.97,51,70,17,24
"　　　　 10月",2.98,59,75,20,25
"　　　　 11月",2.98,52,71,17,24
"　　　　 12月",2.98,55,98,18,33
" 2019年　 1月",2.98,60,79,20,27
"　　　　　2月",2.98,60,87,20,29
"　　　　　3月",2.97,85,100,29,34
"　　　　　4月",2.97,90,99,30,33
"　　　　　5月",2.97,67,79,23,27
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
