"消費数量・購入金額","品目別購入数量・金額","2019年5月 きゅうり"
"品目別購入数量・金額"
"地 域：全国"
"品 目：きゅうり"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,340,199,114,67
"　　　　　2月",2.97,444,215,149,72
"　　　　　3月",2.97,603,249,203,84
"　　　　　4月",2.97,763,299,257,101
"　　　　　5月",2.97,1042,368,351,124
"　　　　　6月",2.97,948,314,319,106
"　　　　　7月",2.98,825,274,277,92
"　　　　　8月",2.98,792,304,266,102
"　　　　　9月",2.98,745,329,250,110
"　　　　 10月",2.98,584,245,196,82
"　　　　 11月",2.98,387,228,130,77
"　　　　 12月",2.98,348,235,117,79
" 2018年　 1月",2.98,318,205,107,69
"　　　　　2月",2.97,407,228,137,77
"　　　　　3月",2.97,563,256,190,86
"　　　　　4月",2.97,854,295,288,99
"　　　　　5月",2.97,1028,362,346,122
"　　　　　6月",2.97,924,321,311,108
"　　　　　7月",2.98,792,325,266,109
"　　　　　8月",2.98,777,364,261,122
"　　　　　9月",2.97,650,340,219,114
"　　　　 10月",2.98,573,293,192,98
"　　　　 11月",2.98,450,217,151,73
"　　　　 12月",2.98,343,197,115,66
" 2019年　 1月",2.98,312,195,105,65
"　　　　　2月",2.98,398,214,134,72
"　　　　　3月",2.97,523,246,176,83
"　　　　　4月",2.97,774,289,261,97
"　　　　　5月",2.97,947,339,319,114
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
