"消費数量・購入金額","品目別購入数量・金額","2019年5月 ごぼう"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ごぼう"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,128,96,43,32
"　　　　　2月",2.97,127,95,43,32
"　　　　　3月",2.97,127,98,43,33
"　　　　　4月",2.97,125,87,42,29
"　　　　　5月",2.97,103,81,35,27
"　　　　　6月",2.97,107,80,36,27
"　　　　　7月",2.98,79,60,27,20
"　　　　　8月",2.98,105,72,35,24
"　　　　　9月",2.98,147,96,49,32
"　　　　 10月",2.98,151,100,51,34
"　　　　 11月",2.98,208,113,70,38
"　　　　 12月",2.98,240,157,81,53
" 2018年　 1月",2.98,147,95,49,32
"　　　　　2月",2.97,163,111,55,37
"　　　　　3月",2.97,124,87,42,29
"　　　　　4月",2.97,94,76,32,26
"　　　　　5月",2.97,102,78,34,26
"　　　　　6月",2.97,88,68,30,23
"　　　　　7月",2.98,81,64,27,21
"　　　　　8月",2.98,94,70,32,23
"　　　　　9月",2.97,127,95,43,32
"　　　　 10月",2.98,157,108,53,36
"　　　　 11月",2.98,131,94,44,32
"　　　　 12月",2.98,245,147,82,49
" 2019年　 1月",2.98,125,93,42,31
"　　　　　2月",2.98,125,88,42,30
"　　　　　3月",2.97,122,86,41,29
"　　　　　4月",2.97,119,80,40,27
"　　　　　5月",2.97,105,74,35,25
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
