"消費数量・購入金額","品目別購入数量・金額","2019年5月 さといも"
"品目別購入数量・金額"
"地 域：全国"
"品 目：さといも"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,149,70,50,24
"　　　　　2月",2.97,146,71,49,24
"　　　　　3月",2.97,134,61,45,21
"　　　　　4月",2.97,96,45,32,15
"　　　　　5月",2.97,52,26,18,9
"　　　　　6月",2.97,36,21,12,7
"　　　　　7月",2.98,24,17,8,6
"　　　　　8月",2.98,56,38,19,13
"　　　　　9月",2.98,179,97,60,33
"　　　　 10月",2.98,260,128,87,43
"　　　　 11月",2.98,277,122,93,41
"　　　　 12月",2.98,364,174,122,58
" 2018年　 1月",2.98,149,73,50,24
"　　　　　2月",2.97,142,68,48,23
"　　　　　3月",2.97,92,47,31,16
"　　　　　4月",2.97,67,33,23,11
"　　　　　5月",2.97,44,26,15,9
"　　　　　6月",2.97,26,19,9,6
"　　　　　7月",2.98,25,15,8,5
"　　　　　8月",2.98,48,31,16,10
"　　　　　9月",2.97,147,89,49,30
"　　　　 10月",2.98,235,127,79,43
"　　　　 11月",2.98,227,106,76,36
"　　　　 12月",2.98,305,165,102,55
" 2019年　 1月",2.98,131,71,44,24
"　　　　　2月",2.98,113,63,38,21
"　　　　　3月",2.97,89,48,30,16
"　　　　　4月",2.97,64,39,22,13
"　　　　　5月",2.97,40,27,13,9
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
