"消費数量・購入金額","品目別購入数量・金額","2019年5月 さば"
"品目別購入数量・金額"
"地 域：全国"
"品 目：さば"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,87,94,29,32
"　　　　　2月",2.97,89,92,30,31
"　　　　　3月",2.97,93,93,31,31
"　　　　　4月",2.97,81,83,27,28
"　　　　　5月",2.97,73,70,25,24
"　　　　　6月",2.97,65,65,22,22
"　　　　　7月",2.98,63,58,21,19
"　　　　　8月",2.98,52,56,17,19
"　　　　　9月",2.98,69,71,23,24
"　　　　 10月",2.98,67,74,22,25
"　　　　 11月",2.98,82,93,28,31
"　　　　 12月",2.98,85,92,29,31
" 2018年　 1月",2.98,86,93,29,31
"　　　　　2月",2.97,96,98,32,33
"　　　　　3月",2.97,78,83,26,28
"　　　　　4月",2.97,84,84,28,28
"　　　　　5月",2.97,89,79,30,27
"　　　　　6月",2.97,77,77,26,26
"　　　　　7月",2.98,68,66,23,22
"　　　　　8月",2.98,65,70,22,23
"　　　　　9月",2.97,66,70,22,24
"　　　　 10月",2.98,74,76,25,26
"　　　　 11月",2.98,81,89,27,30
"　　　　 12月",2.98,101,94,34,32
" 2019年　 1月",2.98,97,100,33,34
"　　　　　2月",2.98,100,97,34,33
"　　　　　3月",2.97,87,91,29,31
"　　　　　4月",2.97,73,77,25,26
"　　　　　5月",2.97,72,76,24,26
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
