"消費数量・購入金額","品目別購入数量・金額","2019年5月 さやまめ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：さやまめ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,86,105,29,35
"　　　　　2月",2.97,96,126,32,42
"　　　　　3月",2.97,126,168,42,57
"　　　　　4月",2.97,158,185,53,62
"　　　　　5月",2.97,217,227,73,76
"　　　　　6月",2.97,246,253,83,85
"　　　　　7月",2.98,294,290,99,97
"　　　　　8月",2.98,279,296,94,99
"　　　　　9月",2.98,219,201,73,67
"　　　　 10月",2.98,131,123,44,41
"　　　　 11月",2.98,61,66,20,22
"　　　　 12月",2.98,72,98,24,33
" 2018年　 1月",2.98,73,102,24,34
"　　　　　2月",2.97,81,111,27,37
"　　　　　3月",2.97,119,157,40,53
"　　　　　4月",2.97,167,202,56,68
"　　　　　5月",2.97,211,216,71,73
"　　　　　6月",2.97,228,242,77,81
"　　　　　7月",2.98,260,272,87,91
"　　　　　8月",2.98,257,283,86,95
"　　　　　9月",2.97,153,162,52,55
"　　　　 10月",2.98,104,117,35,39
"　　　　 11月",2.98,57,74,19,25
"　　　　 12月",2.98,73,96,24,32
" 2019年　 1月",2.98,84,98,28,33
"　　　　　2月",2.98,92,114,31,38
"　　　　　3月",2.97,125,150,42,51
"　　　　　4月",2.97,140,179,47,60
"　　　　　5月",2.97,196,204,66,69
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
