"消費数量・購入金額","品目別購入数量・金額","2019年5月 しめじ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：しめじ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,258,185,87,62
"　　　　　2月",2.97,239,163,80,55
"　　　　　3月",2.97,249,151,84,51
"　　　　　4月",2.97,218,132,73,44
"　　　　　5月",2.97,195,117,66,39
"　　　　　6月",2.97,216,113,73,38
"　　　　　7月",2.98,167,94,56,32
"　　　　　8月",2.98,178,101,60,34
"　　　　　9月",2.98,240,146,81,49
"　　　　 10月",2.98,287,188,96,63
"　　　　 11月",2.98,276,190,93,64
"　　　　 12月",2.98,254,200,85,67
" 2018年　 1月",2.98,263,206,88,69
"　　　　　2月",2.97,264,190,89,64
"　　　　　3月",2.97,240,158,81,53
"　　　　　4月",2.97,226,128,76,43
"　　　　　5月",2.97,222,121,75,41
"　　　　　6月",2.97,210,113,71,38
"　　　　　7月",2.98,183,100,61,34
"　　　　　8月",2.98,178,105,60,35
"　　　　　9月",2.97,242,164,81,55
"　　　　 10月",2.98,262,189,88,63
"　　　　 11月",2.98,239,183,80,61
"　　　　 12月",2.98,254,186,85,62
" 2019年　 1月",2.98,257,180,86,60
"　　　　　2月",2.98,233,159,78,53
"　　　　　3月",2.97,250,152,84,51
"　　　　　4月",2.97,224,129,75,43
"　　　　　5月",2.97,202,122,68,41
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
