"消費数量・購入金額","品目別購入数量・金額","2019年5月 たけのこ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：たけのこ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,25,33,8,11
"　　　　　2月",2.97,28,35,9,12
"　　　　　3月",2.97,51,57,17,19
"　　　　　4月",2.97,243,203,82,68
"　　　　　5月",2.97,133,95,45,32
"　　　　　6月",2.97,92,53,31,18
"　　　　　7月",2.98,25,26,8,9
"　　　　　8月",2.98,26,33,9,11
"　　　　　9月",2.98,21,31,7,10
"　　　　 10月",2.98,23,29,8,10
"　　　　 11月",2.98,29,29,10,10
"　　　　 12月",2.98,74,120,25,40
" 2018年　 1月",2.98,28,31,9,10
"　　　　　2月",2.97,26,35,9,12
"　　　　　3月",2.97,66,71,22,24
"　　　　　4月",2.97,289,194,97,65
"　　　　　5月",2.97,110,72,37,24
"　　　　　6月",2.97,44,42,15,14
"　　　　　7月",2.98,24,27,8,9
"　　　　　8月",2.98,26,28,9,9
"　　　　　9月",2.97,26,29,9,10
"　　　　 10月",2.98,29,35,10,12
"　　　　 11月",2.98,22,29,7,10
"　　　　 12月",2.98,65,106,22,36
" 2019年　 1月",2.98,24,31,8,10
"　　　　　2月",2.98,27,34,9,11
"　　　　　3月",2.97,58,70,20,24
"　　　　　4月",2.97,241,201,81,68
"　　　　　5月",2.97,96,86,32,29
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
