"消費数量・購入金額","品目別購入数量・金額","2019年5月 たこ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：たこ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,42,85,14,29
"　　　　　2月",2.97,42,92,14,31
"　　　　　3月",2.97,55,108,19,36
"　　　　　4月",2.97,60,113,20,38
"　　　　　5月",2.97,58,118,20,40
"　　　　　6月",2.97,63,123,21,41
"　　　　　7月",2.98,78,157,26,53
"　　　　　8月",2.98,72,149,24,50
"　　　　　9月",2.98,61,116,20,39
"　　　　 10月",2.98,47,99,16,33
"　　　　 11月",2.98,44,90,15,30
"　　　　 12月",2.98,74,176,25,59
" 2018年　 1月",2.98,38,87,13,29
"　　　　　2月",2.97,40,86,13,29
"　　　　　3月",2.97,43,94,14,32
"　　　　　4月",2.97,46,100,15,34
"　　　　　5月",2.97,50,112,17,38
"　　　　　6月",2.97,50,110,17,37
"　　　　　7月",2.98,60,128,20,43
"　　　　　8月",2.98,49,114,16,38
"　　　　　9月",2.97,37,83,12,28
"　　　　 10月",2.98,33,77,11,26
"　　　　 11月",2.98,34,73,11,24
"　　　　 12月",2.98,58,153,19,51
" 2019年　 1月",2.98,36,85,12,29
"　　　　　2月",2.98,33,78,11,26
"　　　　　3月",2.97,36,96,12,32
"　　　　　4月",2.97,48,96,16,32
"　　　　　5月",2.97,40,97,13,33
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
