"消費数量・購入金額","品目別購入数量・金額","2019年5月 たらこ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：たらこ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,54,164,18,55
"　　　　　2月",2.97,48,177,16,60
"　　　　　3月",2.97,58,189,20,64
"　　　　　4月",2.97,57,171,19,58
"　　　　　5月",2.97,58,170,20,57
"　　　　　6月",2.97,52,176,18,59
"　　　　　7月",2.98,60,196,20,66
"　　　　　8月",2.98,55,215,18,72
"　　　　　9月",2.98,52,162,17,54
"　　　　 10月",2.98,56,164,19,55
"　　　　 11月",2.98,56,185,19,62
"　　　　 12月",2.98,89,292,30,98
" 2018年　 1月",2.98,56,169,19,57
"　　　　　2月",2.97,55,150,19,51
"　　　　　3月",2.97,57,173,19,58
"　　　　　4月",2.97,56,164,19,55
"　　　　　5月",2.97,55,164,19,55
"　　　　　6月",2.97,55,166,19,56
"　　　　　7月",2.98,54,180,18,60
"　　　　　8月",2.98,48,180,16,60
"　　　　　9月",2.97,52,148,18,50
"　　　　 10月",2.98,50,172,17,58
"　　　　 11月",2.98,58,185,19,62
"　　　　 12月",2.98,70,275,23,92
" 2019年　 1月",2.98,53,155,18,52
"　　　　　2月",2.98,48,142,16,48
"　　　　　3月",2.97,51,160,17,54
"　　　　　4月",2.97,56,164,19,55
"　　　　　5月",2.97,51,161,17,54
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
