"消費数量・購入金額","品目別購入数量・金額","2019年5月 にんじん"
"品目別購入数量・金額"
"地 域：全国"
"品 目：にんじん"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,699,215,235,72
"　　　　　2月",2.97,703,205,237,69
"　　　　　3月",2.97,711,227,239,76
"　　　　　4月",2.97,697,235,235,79
"　　　　　5月",2.97,700,218,236,73
"　　　　　6月",2.97,645,192,217,65
"　　　　　7月",2.98,519,154,174,52
"　　　　　8月",2.98,616,168,207,56
"　　　　　9月",2.98,730,177,245,59
"　　　　 10月",2.98,823,196,276,66
"　　　　 11月",2.98,750,206,252,69
"　　　　 12月",2.98,859,253,288,85
" 2018年　 1月",2.98,722,216,242,72
"　　　　　2月",2.97,689,218,232,73
"　　　　　3月",2.97,625,218,210,73
"　　　　　4月",2.97,631,236,212,79
"　　　　　5月",2.97,744,235,251,79
"　　　　　6月",2.97,681,179,229,60
"　　　　　7月",2.98,537,153,180,51
"　　　　　8月",2.98,563,184,189,62
"　　　　　9月",2.97,622,221,209,74
"　　　　 10月",2.98,699,264,235,89
"　　　　 11月",2.98,677,251,227,84
"　　　　 12月",2.98,831,239,279,80
" 2019年　 1月",2.98,714,189,240,63
"　　　　　2月",2.98,693,170,233,57
"　　　　　3月",2.97,701,174,236,59
"　　　　　4月",2.97,649,180,219,61
"　　　　　5月",2.97,645,187,217,63
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
