"消費数量・購入金額","品目別購入数量・金額","2019年5月 はくさい"
"品目別購入数量・金額"
"地 域：全国"
"品 目：はくさい"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,999,178,336,60
"　　　　　2月",2.97,883,154,297,52
"　　　　　3月",2.97,539,114,181,38
"　　　　　4月",2.97,265,75,89,25
"　　　　　5月",2.97,258,58,87,20
"　　　　　6月",2.97,249,45,84,15
"　　　　　7月",2.98,197,36,66,12
"　　　　　8月",2.98,225,43,76,14
"　　　　　9月",2.98,525,113,176,38
"　　　　 10月",2.98,1334,190,448,64
"　　　　 11月",2.98,1381,222,463,74
"　　　　 12月",2.98,1459,284,490,95
" 2018年　 1月",2.98,950,248,319,83
"　　　　　2月",2.97,699,212,235,71
"　　　　　3月",2.97,436,122,147,41
"　　　　　4月",2.97,404,72,136,24
"　　　　　5月",2.97,313,55,105,19
"　　　　　6月",2.97,259,46,87,15
"　　　　　7月",2.98,214,41,72,14
"　　　　　8月",2.98,161,48,54,16
"　　　　　9月",2.97,526,130,177,44
"　　　　 10月",2.98,1046,217,351,73
"　　　　 11月",2.98,1321,200,443,67
"　　　　 12月",2.98,1484,156,498,52
" 2019年　 1月",2.98,1108,121,372,41
"　　　　　2月",2.98,938,101,315,34
"　　　　　3月",2.97,558,67,188,23
"　　　　　4月",2.97,336,60,113,20
"　　　　　5月",2.97,282,48,95,16
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
