"消費数量・購入金額","品目別購入数量・金額","2019年5月 ばれいしょ"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ばれいしょ"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,757,235,255,79
"　　　　　2月",2.97,807,256,272,86
"　　　　　3月",2.97,920,312,310,105
"　　　　　4月",2.97,933,345,314,116
"　　　　　5月",2.97,983,341,331,115
"　　　　　6月",2.97,853,242,287,81
"　　　　　7月",2.98,523,146,176,49
"　　　　　8月",2.98,557,146,187,49
"　　　　　9月",2.98,750,183,252,61
"　　　　 10月",2.98,910,192,305,64
"　　　　 11月",2.98,861,188,289,63
"　　　　 12月",2.98,800,186,268,62
" 2018年　 1月",2.98,864,211,290,71
"　　　　　2月",2.97,858,211,289,71
"　　　　　3月",2.97,939,241,316,81
"　　　　　4月",2.97,949,238,320,80
"　　　　　5月",2.97,970,248,327,84
"　　　　　6月",2.97,849,181,286,61
"　　　　　7月",2.98,589,114,198,38
"　　　　　8月",2.98,516,122,173,41
"　　　　　9月",2.97,641,169,216,57
"　　　　 10月",2.98,845,196,284,66
"　　　　 11月",2.98,689,170,231,57
"　　　　 12月",2.98,754,187,253,63
" 2019年　 1月",2.98,792,192,266,64
"　　　　　2月",2.98,881,199,296,67
"　　　　　3月",2.97,880,216,296,73
"　　　　　4月",2.97,907,238,305,80
"　　　　　5月",2.97,928,249,312,84
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
