"消費数量・購入金額","品目別購入数量・金額","2019年5月 もち"
"品目別購入数量・金額"
"地 域：全国"
"品 目：もち"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,225,150,76,51
"　　　　　2月",2.97,139,92,47,31
"　　　　　3月",2.97,106,79,36,27
"　　　　　4月",2.97,77,57,26,19
"　　　　　5月",2.97,59,48,20,16
"　　　　　6月",2.97,46,37,15,12
"　　　　　7月",2.98,37,28,12,9
"　　　　　8月",2.98,44,36,15,12
"　　　　　9月",2.98,83,61,28,20
"　　　　 10月",2.98,126,82,42,28
"　　　　 11月",2.98,234,159,79,53
"　　　　 12月",2.98,1242,1035,417,347
" 2018年　 1月",2.98,212,145,71,49
"　　　　　2月",2.97,146,95,49,32
"　　　　　3月",2.97,83,63,28,21
"　　　　　4月",2.97,77,52,26,18
"　　　　　5月",2.97,59,42,20,14
"　　　　　6月",2.97,44,31,15,10
"　　　　　7月",2.98,39,29,13,10
"　　　　　8月",2.98,46,32,15,11
"　　　　　9月",2.97,85,57,29,19
"　　　　 10月",2.98,128,80,43,27
"　　　　 11月",2.98,180,123,60,41
"　　　　 12月",2.98,1130,951,379,319
" 2019年　 1月",2.98,209,138,70,46
"　　　　　2月",2.98,133,90,45,30
"　　　　　3月",2.97,108,76,36,26
"　　　　　4月",2.97,82,56,28,19
"　　　　　5月",2.97,54,40,18,13
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
