"消費数量・購入金額","品目別購入数量・金額","2019年5月 ハム"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ハム"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,165,323,56,109
"　　　　　2月",2.97,151,292,51,98
"　　　　　3月",2.97,174,337,59,113
"　　　　　4月",2.97,180,345,61,116
"　　　　　5月",2.97,207,407,70,137
"　　　　　6月",2.97,234,453,79,153
"　　　　　7月",2.98,302,566,101,190
"　　　　　8月",2.98,250,474,84,159
"　　　　　9月",2.98,197,356,66,119
"　　　　 10月",2.98,183,350,61,117
"　　　　 11月",2.98,267,504,90,169
"　　　　 12月",2.98,465,944,156,317
" 2018年　 1月",2.98,167,325,56,109
"　　　　　2月",2.97,150,291,51,98
"　　　　　3月",2.97,177,332,60,112
"　　　　　4月",2.97,192,352,65,119
"　　　　　5月",2.97,203,377,68,127
"　　　　　6月",2.97,225,420,76,141
"　　　　　7月",2.98,264,515,89,173
"　　　　　8月",2.98,227,423,76,142
"　　　　　9月",2.97,167,333,56,112
"　　　　 10月",2.98,174,337,58,113
"　　　　 11月",2.98,254,477,85,160
"　　　　 12月",2.98,383,797,129,267
" 2019年　 1月",2.98,168,311,56,104
"　　　　　2月",2.98,161,297,54,100
"　　　　　3月",2.97,175,333,59,112
"　　　　　4月",2.97,186,339,63,114
"　　　　　5月",2.97,218,391,73,132
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
