"消費数量・購入金額","品目別購入数量・金額","2019年5月 ベーコン"
"品目別購入数量・金額"
"地 域：全国"
"品 目：ベーコン"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,105,194,35,65
"　　　　　2月",2.97,114,199,38,67
"　　　　　3月",2.97,132,223,44,75
"　　　　　4月",2.97,129,214,43,72
"　　　　　5月",2.97,137,231,46,78
"　　　　　6月",2.97,129,224,43,75
"　　　　　7月",2.98,124,213,42,71
"　　　　　8月",2.98,125,221,42,74
"　　　　　9月",2.98,132,219,44,73
"　　　　 10月",2.98,138,230,46,77
"　　　　 11月",2.98,131,218,44,73
"　　　　 12月",2.98,122,223,41,75
" 2018年　 1月",2.98,118,192,40,64
"　　　　　2月",2.97,114,201,38,68
"　　　　　3月",2.97,133,221,45,74
"　　　　　4月",2.97,135,219,45,74
"　　　　　5月",2.97,135,226,45,76
"　　　　　6月",2.97,131,225,44,76
"　　　　　7月",2.98,121,207,41,69
"　　　　　8月",2.98,122,204,41,68
"　　　　　9月",2.97,124,215,42,72
"　　　　 10月",2.98,137,219,46,73
"　　　　 11月",2.98,129,208,43,70
"　　　　 12月",2.98,148,238,50,80
" 2019年　 1月",2.98,109,201,37,67
"　　　　　2月",2.98,119,201,40,67
"　　　　　3月",2.97,132,229,44,77
"　　　　　4月",2.97,125,209,42,70
"　　　　　5月",2.97,142,223,48,75
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
