"消費数量・購入金額","品目別購入数量・金額","2019年5月 レタス"
"品目別購入数量・金額"
"地 域：全国"
"品 目：レタス"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,403,195,136,66
"　　　　　2月",2.97,422,198,142,67
"　　　　　3月",2.97,578,218,195,73
"　　　　　4月",2.97,587,231,198,78
"　　　　　5月",2.97,741,238,249,80
"　　　　　6月",2.97,687,209,231,70
"　　　　　7月",2.98,775,208,260,70
"　　　　　8月",2.98,628,233,211,78
"　　　　　9月",2.98,560,251,188,84
"　　　　 10月",2.98,597,196,200,66
"　　　　 11月",2.98,251,185,84,62
"　　　　 12月",2.98,224,216,75,72
" 2018年　 1月",2.98,209,197,70,66
"　　　　　2月",2.97,257,213,87,72
"　　　　　3月",2.97,567,249,191,84
"　　　　　4月",2.97,664,207,224,70
"　　　　　5月",2.97,654,203,220,68
"　　　　　6月",2.97,674,204,227,69
"　　　　　7月",2.98,659,220,221,74
"　　　　　8月",2.98,631,260,212,87
"　　　　　9月",2.97,531,237,179,80
"　　　　 10月",2.98,449,231,151,78
"　　　　 11月",2.98,498,178,167,60
"　　　　 12月",2.98,472,167,158,56
" 2019年　 1月",2.98,341,178,114,60
"　　　　　2月",2.98,405,175,136,59
"　　　　　3月",2.97,501,184,169,62
"　　　　　4月",2.97,486,193,164,65
"　　　　　5月",2.97,609,220,205,74
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
