"消費数量・購入金額","品目別購入数量・金額","2019年5月 合いびき肉"
"品目別購入数量・金額"
"地 域：全国"
"品 目：合いびき肉"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,159,194,54,65
"　　　　　2月",2.97,152,194,51,65
"　　　　　3月",2.97,178,221,60,74
"　　　　　4月",2.97,173,222,58,75
"　　　　　5月",2.97,172,225,58,76
"　　　　　6月",2.97,182,236,61,79
"　　　　　7月",2.98,186,233,62,78
"　　　　　8月",2.98,177,227,59,76
"　　　　　9月",2.98,177,222,59,74
"　　　　 10月",2.98,172,219,58,73
"　　　　 11月",2.98,166,204,56,68
"　　　　 12月",2.98,158,196,53,66
" 2018年　 1月",2.98,158,196,53,66
"　　　　　2月",2.97,156,198,53,67
"　　　　　3月",2.97,162,209,55,70
"　　　　　4月",2.97,162,209,55,70
"　　　　　5月",2.97,184,227,62,76
"　　　　　6月",2.97,184,227,62,76
"　　　　　7月",2.98,172,216,58,72
"　　　　　8月",2.98,156,207,52,69
"　　　　　9月",2.97,187,239,63,80
"　　　　 10月",2.98,174,224,58,75
"　　　　 11月",2.98,179,212,60,71
"　　　　 12月",2.98,164,202,55,68
" 2019年　 1月",2.98,177,209,59,70
"　　　　　2月",2.98,179,208,60,70
"　　　　　3月",2.97,182,227,61,76
"　　　　　4月",2.97,169,215,57,72
"　　　　　5月",2.97,182,225,61,76
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
