"消費数量・購入金額","品目別購入数量・金額","2019年5月 小麦粉"
"品目別購入数量・金額"
"地 域：全国"
"品 目：小麦粉"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,188,47,63,16
"　　　　　2月",2.97,216,49,73,16
"　　　　　3月",2.97,232,58,78,20
"　　　　　4月",2.97,219,54,74,18
"　　　　　5月",2.97,216,53,73,18
"　　　　　6月",2.97,189,51,64,17
"　　　　　7月",2.98,172,45,58,15
"　　　　　8月",2.98,221,55,74,18
"　　　　　9月",2.98,207,50,69,17
"　　　　 10月",2.98,202,56,68,19
"　　　　 11月",2.98,195,50,65,17
"　　　　 12月",2.98,232,59,78,20
" 2018年　 1月",2.98,182,45,61,15
"　　　　　2月",2.97,180,46,61,15
"　　　　　3月",2.97,221,53,74,18
"　　　　　4月",2.97,207,55,70,19
"　　　　　5月",2.97,208,52,70,18
"　　　　　6月",2.97,190,48,64,16
"　　　　　7月",2.98,164,44,55,15
"　　　　　8月",2.98,178,47,60,16
"　　　　　9月",2.97,203,50,68,17
"　　　　 10月",2.98,218,50,73,17
"　　　　 11月",2.98,173,47,58,16
"　　　　 12月",2.98,251,59,84,20
" 2019年　 1月",2.98,178,43,60,14
"　　　　　2月",2.98,177,46,59,15
"　　　　　3月",2.97,205,52,69,18
"　　　　　4月",2.97,179,52,60,18
"　　　　　5月",2.97,181,53,61,18
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
