"消費数量・購入金額","品目別購入数量・金額","2019年5月 豚肉"
"品目別購入数量・金額"
"地 域：全国"
"品 目：豚肉"
"（単位：人、 ｇ、 円）"
"","","　　　世帯当り　","","　　　一人当り"
"年　　月","世帯人員","購入数量","購入金額","購入数量","購入金額"
" 2017年　 1月",2.97,1759,2547,592,858
"　　　　　2月",2.97,1662,2401,560,808
"　　　　　3月",2.97,1776,2499,598,841
"　　　　　4月",2.97,1707,2418,575,814
"　　　　　5月",2.97,1687,2433,568,819
"　　　　　6月",2.97,1656,2375,558,800
"　　　　　7月",2.98,1654,2405,555,807
"　　　　　8月",2.98,1645,2408,552,808
"　　　　　9月",2.98,1707,2449,573,822
"　　　　 10月",2.98,1820,2672,611,897
"　　　　 11月",2.98,1804,2613,605,877
"　　　　 12月",2.98,1876,2770,630,930
" 2018年　 1月",2.98,1787,2626,600,881
"　　　　　2月",2.97,1691,2488,569,838
"　　　　　3月",2.97,1816,2521,611,849
"　　　　　4月",2.97,1771,2492,596,839
"　　　　　5月",2.97,1817,2565,612,864
"　　　　　6月",2.97,1792,2495,603,840
"　　　　　7月",2.98,1747,2483,586,833
"　　　　　8月",2.98,1687,2428,566,815
"　　　　　9月",2.97,1773,2546,597,857
"　　　　 10月",2.98,1840,2605,617,874
"　　　　 11月",2.98,1850,2584,621,867
"　　　　 12月",2.98,1943,2758,652,926
" 2019年　 1月",2.98,1871,2592,628,870
"　　　　　2月",2.98,1715,2425,576,814
"　　　　　3月",2.97,1876,2538,632,855
"　　　　　4月",2.97,1720,2394,579,806
"　　　　　5月",2.97,1704,2393,574,806
"　　　　　6月",,,,,
"　　　　　7月",,,,,
"　　　　　8月",,,,,
"　　　　　9月",,,,,
"　　　　 10月",,,,,
"　　　　 11月",,,,,
"　　　　 12月",,,,,
